881,质子弹蓝图 S,Proton S Blueprint,
882,硬钼弹蓝图 S,Depleted Uranium S Blueprint,
883,钛合金萨博弹蓝图 S,Titanium Sabot S Blueprint,
884,聚变弹蓝图 S,Fusion S Blueprint,
885,定相等离子弹蓝图 S,Phased Plasma S Blueprint,
886,电磁脉冲弹蓝图 S,EMP S Blueprint,
887,碳铅弹蓝图 M,Carbonized Lead M Blueprint,
888,核芯弹蓝图 M,Nuclear M Blueprint,
889,质子弹蓝图 M,Proton M Blueprint,
890,硬钼弹蓝图 M,Depleted Uranium M Blueprint,
891,钛合金萨博弹蓝图 M,Titanium Sabot M Blueprint,
892,聚变弹蓝图 M,Fusion M Blueprint,
893,定相等离子弹蓝图 M,Phased Plasma M Blueprint,
894,电磁脉冲弹蓝图 M,EMP M Blueprint,
895,碳铅弹蓝图 L,Carbonized Lead L Blueprint,
896,核芯弹蓝图 L,Nuclear L Blueprint,
897,质子弹蓝图 L,Proton L Blueprint,
898,硬钼弹蓝图 L,Depleted Uranium L Blueprint,
899,钛合金萨博弹蓝图 L,Titanium Sabot L Blueprint,
900,聚变弹蓝图 L,Fusion L Blueprint,
901,定相等离子弹蓝图 L,Phased Plasma L Blueprint,
902,电磁脉冲弹蓝图 L,EMP L Blueprint,
935,死神号蓝图,Reaper Blueprint,
936,刽子手级蓝图,Executioner Blueprint,
937,检察官级蓝图,Inquisitor Blueprint,
938,巨神兵级蓝图,Tormentor Blueprint,
939,纳维达斯级蓝图,Navitas Blueprint,
940,特里斯坦级蓝图,Tristan Blueprint,
941,因卡萨斯级蓝图,Incursus Blueprint,
943,帝国号蓝图,Impairor Blueprint,
944,惩罚者级蓝图,Punisher Blueprint,
945,分裂者级蓝图,Breacher Blueprint,
946,爆发级蓝图,Burst Blueprint,
947,米玛塔尔维和船蓝图,Minmatar Peacekeeper Ship Blueprint,
948,伊毕斯号蓝图,Ibis Blueprint,
949,茶隼级蓝图,Kestrel Blueprint,
950,小鹰级蓝图,Merlin Blueprint,
952,苍鹭级蓝图,Heron Blueprint,
953,维拉托尔号蓝图,Velator Blueprint,
954,伊米卡斯级蓝图,Imicus Blueprint,
955,阿特龙级蓝图,Atron Blueprint,
956,毛鲁斯级蓝图,Maulus Blueprint,
960,吞噬级蓝图,Devourer Blueprint,
961,女神级蓝图,Fury Blueprint,
963,美杜莎级蓝图,Medusa Blueprint,
965,山猫级蓝图,Lynx Blueprint,
966,剑刺级蓝图,Swordspine Blueprint,
967,加达里穿梭机蓝图,Caldari Shuttle Blueprint,
968,巨鸟级蓝图,Moa Blueprint,
969,暴君级蓝图,Maller Blueprint,
970,奥格诺级蓝图,Augoror Blueprint,
971,狂怒者级蓝图,Vexor Blueprint,
972,托勒克斯级蓝图,Thorax Blueprint,
973,主宰级蓝图,Arbitrator Blueprint,
974,断崖级蓝图,Rupture Blueprint,
975,挑战级蓝图,Bellicose Blueprint,
976,镰刀级蓝图,Scythe Blueprint,
977,黑鸟级蓝图,Blackbird Blueprint,
978,星空级蓝图,Celestis Blueprint,
979,送葬者级蓝图,Exequror Blueprint,
983,獾级蓝图,Badger Blueprint,
984,狐鼬级蓝图,Tayra Blueprint,
985,涅鲁斯级蓝图,Nereus Blueprint,
986,囤积者级蓝图,Hoarder Blueprint,
987,猛犸级蓝图,Mammoth Blueprint,
988,环绕级蓝图,Wreathe Blueprint,
989,克琉斯级蓝图,Kryos Blueprint,
990,埃比斯级蓝图,Epithal Blueprint,
991,米亚莫斯级蓝图,Miasmos Blueprint,
992,伊特龙级MKV蓝图,Iteron Mark V Blueprint,
994,毒蝎级蓝图,Scorpion Blueprint,
995,万王宝座级蓝图,Megathron Blueprint,
996,灾难级蓝图,Apocalypse Blueprint,
997,末日沙场级蓝图,Armageddon Blueprint,
998,台风级蓝图,Typhoon Blueprint,
999,多米尼克斯级蓝图,Dominix Blueprint,
1002,俄洛巴斯级蓝图,Erebus Blueprint,
1010,小型护盾扩展装置蓝图 I,Small Shield Extender I Blueprint,
1026,护盾回充器蓝图 I,Shield Recharger I Blueprint,
1032,小型护盾回充增量器蓝图 I,Small Shield Booster I Blueprint,
1067,5MN微型跃迁推进器蓝图 I,5MN Microwarpdrive I Blueprint,
1072,1MN加力燃烧器蓝图 I,1MN Afterburner I Blueprint,
1074,货柜扫描器蓝图 I,Cargo Scanner I Blueprint,
1075,船体扫描器蓝图 I,Ship Scanner I Blueprint,
1076,测量扫描器蓝图 I,Survey Scanner I Blueprint,
1079,跃迁扰频器蓝图 I,Warp Scrambler I Blueprint,
1096,回转稳定器蓝图 I,Gyrostabilizer I Blueprint,
1099,小型装甲维修器蓝图 I,Small Armor Repairer I Blueprint,
1100,小型结构维修器蓝图 I,Small Hull Repairer I Blueprint,
1102,停滞缠绕光束蓝图 I,Stasis Webifier I Blueprint,
1105,小型远程电容传输装置蓝图 I,Small Remote Capacitor Transmitter I Blueprint,
1106,小型掠能器蓝图 I,Small Energy Nosferatu I Blueprint,
1109,小型能量中和器蓝图 I,Small Energy Neutralizer I Blueprint,
1112,75mm加特林磁轨炮蓝图 I,75mm Gatling Rail I Blueprint,
1113,轻型电子疾速炮蓝图 I,Light Electron Blaster I Blueprint,
1114,轻型离子疾速炮蓝图 I,Light Ion Blaster I Blueprint,
1115,轻型中子疾速炮蓝图 I,Light Neutron Blaster I Blueprint,
1116,150mm磁轨炮蓝图 I,150mm Railgun I Blueprint,
1117,重型电子疾速炮蓝图 I,Heavy Electron Blaster I Blueprint,
1118,双联150mm磁轨炮蓝图 I,Dual 150mm Railgun I Blueprint,
1119,重型中子疾速炮蓝图 I,Heavy Neutron Blaster I Blueprint,
1120,重型离子疾速炮蓝图 I,Heavy Ion Blaster I Blueprint,
1121,250mm磁轨炮蓝图 I,250mm Railgun I Blueprint,
1122,电子疾速加农炮蓝图 I,Electron Blaster Cannon I Blueprint,
1123,双联250mm磁轨炮蓝图 I,Dual 250mm Railgun I Blueprint,
1124,中子疾速加农炮蓝图 I,Neutron Blaster Cannon I Blueprint,
1125,425mm磁轨炮蓝图 I,425mm Railgun I Blueprint,
1126,离子疾速加农炮蓝图 I,Ion Blaster Cannon I Blueprint,
1128,中型电容注电器蓝图 I,Medium Capacitor Booster I Blueprint,
1129,自适应全能力场蓝图 I,Adaptive Invulnerability Field I Blueprint,
1130,铁质轨道弹蓝图 S,Iron Charge S Blueprint,
1131,钨质轨道弹蓝图 S,Tungsten Charge S Blueprint,
1132,铱质轨道弹蓝图 S,Iridium Charge S Blueprint,
1133,铅质轨道弹蓝图 S,Lead Charge S Blueprint,
1134,钍质轨道弹蓝图 S,Thorium Charge S Blueprint,
1135,钼质轨道弹蓝图 S,Uranium Charge S Blueprint,
1136,锰质轨道弹蓝图 S,Plutonium Charge S Blueprint,
1137,反物质轨道弹蓝图 S,Antimatter Charge S Blueprint,
1138,铁质轨道弹蓝图 M,Iron Charge M Blueprint,
1139,钨质轨道弹蓝图 M,Tungsten Charge M Blueprint,
1140,铱质轨道弹蓝图 M,Iridium Charge M Blueprint,
1141,铅质轨道弹蓝图 M,Lead Charge M Blueprint,
1142,钍质轨道弹蓝图 M,Thorium Charge M Blueprint,
1143,钼质轨道弹蓝图 M,Uranium Charge M Blueprint,
1144,锰质轨道弹蓝图 M,Plutonium Charge M Blueprint,
1145,反物质轨道弹蓝图 M,Antimatter Charge M Blueprint,
1146,铁质轨道弹蓝图 L,Iron Charge L Blueprint,
1147,钨质轨道弹蓝图 L,Tungsten Charge L Blueprint,
1148,铱质轨道弹蓝图 L,Iridium Charge L Blueprint,
1149,铅质轨道弹蓝图 L,Lead Charge L Blueprint,
1150,钍质轨道弹蓝图 L,Thorium Charge L Blueprint,
1151,钼质轨道弹蓝图 L,Uranium Charge L Blueprint,
1152,锰质轨道弹蓝图 L,Plutonium Charge L Blueprint,
1153,反物质轨道弹蓝图 L,Antimatter Charge L Blueprint,
1154,射频晶体蓝图 S,Radio S Blueprint,
1155,微波晶体蓝图 S,Microwave S Blueprint,
1156,红外晶体蓝图 S,Infrared S Blueprint,
1157,标准晶体蓝图 S,Standard S Blueprint,
1158,紫外晶体蓝图 S,Ultraviolet S Blueprint,
1159,X射线晶体蓝图 S,Xray S Blueprint,
1160,伽玛晶体蓝图 S,Gamma S Blueprint,
1161,多频晶体蓝图 S,Multifrequency S Blueprint,
1162,射频晶体蓝图 M,Radio M Blueprint,
1163,微波晶体蓝图 M,Microwave M Blueprint,
1164,红外晶体蓝图 M,Infrared M Blueprint,
1165,标准晶体蓝图 M,Standard M Blueprint,
1166,紫外晶体蓝图 M,Ultraviolet M Blueprint,
1167,X射线晶体蓝图 M,Xray M Blueprint,
1168,伽玛晶体蓝图 M,Gamma M Blueprint,
1169,多频晶体蓝图 M,Multifrequency M Blueprint,
1170,射频晶体蓝图 L,Radio L Blueprint,
1171,微波晶体蓝图 L,Microwave L Blueprint,
1172,红外晶体蓝图 L,Infrared L Blueprint,
1173,标准晶体蓝图 L,Standard L Blueprint,
1174,紫外晶体蓝图 L,Ultraviolet L Blueprint,
1175,X射线晶体蓝图 L,Xray L Blueprint,
1176,伽玛晶体蓝图 L,Gamma L Blueprint,
1177,多频晶体蓝图 L,Multifrequency L Blueprint,
1178,高速电容注电器装料—25蓝图,Cap Booster 25 Blueprint,
1179,高速电容注电器装料—50蓝图,Cap Booster 50 Blueprint,
1186,小型电容器电池蓝图 I,Small Cap Battery I Blueprint,
1204,电磁附甲蓝图 I,EM Plating I Blueprint,
1208,自动锁定系统蓝图 I,Auto Targeting System I Blueprint,
1210,脉冲干扰器蓝图 I,Burst Jammer I Blueprint,
1212,被动锁定器蓝图 I,Passive Targeter I Blueprint,
1214,胡蜂蓝图 I,Wasp I Blueprint,
1216,雷神自动锁定轻型导弹蓝图 I,Mjolnir Auto-Targeting Light Missile I Blueprint,
1217,巨蟒悬浮雷蓝图,Python Mine Blueprint,
1218,民用采矿无人机蓝图,Civilian Mining Drone Blueprint,
1220,鞭挞火箭蓝图,Scourge Rocket Blueprint,
1221,鞭挞鱼雷蓝图,Scourge Torpedo Blueprint,
1245,超载喷注系统蓝图 I,Overdrive Injector System I Blueprint,
1247,电容通量线圈蓝图 I,Capacitor Flux Coil I Blueprint,
1255,护盾通量线圈蓝图 I,Shield Flux Coil I Blueprint,
1265,爆炸附甲蓝图 I,Explosive Plating I Blueprint,
1275,覆层附甲蓝图 I,Layered Plating I Blueprint,
1285,动能附甲蓝图 I,Kinetic Plating I Blueprint,
1295,热能附甲蓝图 I,Thermal Plating I Blueprint,
1305,适应性纳米附甲蓝图 I,Adaptive Nano Plating I Blueprint,
1318,扩充货柜舱蓝图 I,Expanded Cargohold I Blueprint,
1334,强化舱隔壁蓝图 I,Reinforced Bulkheads I Blueprint,
1354,反应堆控制元件蓝图 I,Reactor Control Unit I Blueprint,
1404,惯性稳定器蓝图 I,Inertial Stabilizers I Blueprint,
1548,小型质子立体炸弹蓝图 I,Small Proton Smartbomb I Blueprint,
1552,小型引力子立体炸弹蓝图 I,Small Graviton Smartbomb I Blueprint,
1558,小型等离子立体炸弹蓝图 I,Small Plasma Smartbomb I Blueprint,
1564,小型EMP立体炸弹蓝图 I,Small EMP Smartbomb I Blueprint,
1809,电磁防护增效器蓝图 I,EM Ward Amplifier I Blueprint,
1811,鞭挞自动锁定轻型导弹蓝图 I,Scourge Auto-Targeting Light Missile I Blueprint,
1815,星爆自动锁定轻型导弹蓝图 I,Nova Auto-Targeting Light Missile I Blueprint,
1817,炼狱自动锁定轻型导弹蓝图 I,Inferno Auto-Targeting Light Missile I Blueprint,
1819,鞭挞自动锁定重型导弹蓝图 I,Scourge Auto-Targeting Heavy Missile I Blueprint,
1821,雷神自动锁定重型导弹蓝图 I,Mjolnir Auto-Targeting Heavy Missile I Blueprint,
1823,星爆自动锁定重型导弹蓝图 I,Nova Auto-Targeting Heavy Missile I Blueprint,
1825,炼狱自动锁定重型导弹蓝图 I,Inferno Auto-Targeting Heavy Missile I Blueprint,
1827,鞭挞自动锁定巡航导弹蓝图 I,Scourge Auto-Targeting Cruise Missile I Blueprint,
1829,雷神自动锁定巡航导弹蓝图 I,Mjolnir Auto-Targeting Cruise Missile I Blueprint,
1831,星爆自动锁定巡航导弹蓝图 I,Nova Auto-Targeting Cruise Missile I Blueprint,
1833,炼狱自动锁定巡航导弹蓝图 I,Inferno Auto-Targeting Cruise Missile I Blueprint,
1876,轻型快速导弹发射器蓝图 I,Rapid Light Missile Launcher I Blueprint,
1945,恩赐者级蓝图,Bestower Blueprint,
2007,启示级蓝图,Omen Blueprint,
2019,中型电容器电池蓝图 I,Medium Cap Battery I Blueprint,
2021,大型电容器电池蓝图 I,Large Cap Battery I Blueprint,
2023,巨型电容器电池蓝图 I,X-Large Capacitor Battery I Blueprint,
2162,磨难级蓝图,Crucifier Blueprint,
2174,渗透者蓝图 I,Infiltrator I Blueprint,
2179,萨沙怒火巡航导弹蓝图,Sansha Wrath Cruise Missile Blueprint,
2184,战锤蓝图 I,Hammerhead I Blueprint,
2194,执政官蓝图 I,Praetor I Blueprint,
2204,侍僧蓝图 I,Acolyte I Blueprint,
2211,萨沙独裁者鱼雷蓝图,Sansha Juggernaut Torpedo Blueprint,
2213,幽灵重型导弹蓝图,Ghost Heavy Missile Blueprint,
2290,爆炸偏阻力场蓝图 I,Explosive Deflection Field I Blueprint,
2292,动能偏阻力场蓝图 I,Kinetic Deflection Field I Blueprint,
2294,电磁防护力场蓝图 I,EM Ward Field I Blueprint,
2296,热能发散力场蓝图 I,Thermal Dissipation Field I Blueprint,
2332,护盾能源继电器蓝图 I,Shield Power Relay I Blueprint,
2445,蛮妖蓝图 I,Ogre I Blueprint,
2455,地精灵蓝图 I,Hobgoblin I Blueprint,
2465,大黄蜂蓝图 I,Hornet I Blueprint,
2477,狂战士蓝图 I,Berserker I Blueprint,
2487,武士蓝图 I,Warrior I Blueprint,
2507,雷神鱼雷蓝图,Mjolnir Torpedo Blueprint,
2509,星爆鱼雷蓝图,Nova Torpedo Blueprint,
2511,炼狱鱼雷蓝图,Inferno Torpedo Blueprint,
2513,雷神火箭蓝图,Mjolnir Rocket Blueprint,
2515,炼狱火箭蓝图,Inferno Rocket Blueprint,
2517,星爆火箭蓝图,Nova Rocket Blueprint,
2530,爆炸偏阻增效器蓝图 I,Explosive Deflection Amplifier I Blueprint,
2538,热能发散增效器蓝图 I,Thermal Dissipation Amplifier I Blueprint,
2546,动能偏阻增效器蓝图 I,Kinetic Deflection Amplifier I Blueprint,
2604,纳米纤维内部构架蓝图 I,Nanofiber Internal Structure I Blueprint,
2735,基础设施中心蓝图,Infrastructure Hub Blueprint,
2736,跃迁扰断波发射台蓝图,Warp Disruption Battery Blueprint,
2737,主权宣布设施蓝图,Territorial Claim Unit Blueprint,
2738,主权干扰设施蓝图,Sovereignty Blockade Unit Blueprint,
2739,纳米体修复粘合剂蓝图,Nanite Repair Paste Blueprint,
2740,跃迁扰频波发射台蓝图,Warp Scrambling Battery Blueprint,
2741,停滞网状光束发射台蓝图,Stasis Webification Battery Blueprint,
2742,生化储藏舱库图,Biochemical Silo Blueprint,
2743,催化剂储藏舱库图,Catalyst Silo Blueprint,
2744,连接装置阵列蓝图,Coupling Array Blueprint,
2745,通用储藏装置蓝图,General Storage Blueprint,
2746,有害化学物质储藏库蓝图,Hazardous Chemical Silo Blueprint,
2747,混合聚合物储藏库蓝图,Hybrid Polymer Silo Blueprint,
2748,储藏库蓝图,Silo Blueprint,
2749,高级大型舰船组装阵列蓝图,Advanced Large Ship Assembly Array Blueprint,
2750,超大型舰船维护阵列蓝图,X-Large Ship Maintenance Array Blueprint,
2751,高级中型舰船组装阵列蓝图,Advanced Medium Ship Assembly Array Blueprint,
2752,舰船维护阵列蓝图,Ship Maintenance Array Blueprint,
2753,高级小型舰船组装阵列蓝图,Advanced Small Ship Assembly Array Blueprint,
2754,弹药组装阵列蓝图,Ammunition Assembly Array Blueprint,
2755,弹道偏转阵列蓝图,Ballistic Deflection Array Blueprint,
2756,超级旗舰组装阵列蓝图,Supercapital Ship Assembly Array Blueprint,
2757,爆炸伤害弱化设备阵列蓝图,Explosion Dampening Array Blueprint,
2758,组件装配阵列蓝图,Component Assembly Array Blueprint,
2759,热消散阵列蓝图,Heat Dissipation Array Blueprint,
2760,无人机组装阵列蓝图,Drone Assembly Array Blueprint,
2761,光子散射阵列蓝图,Photon Scattering Array Blueprint,
2762,药物实验室蓝图,Drug Lab Blueprint,
2763,感应抑阻波发射台蓝图,Sensor Dampening Battery Blueprint,
2764,装备组装阵列蓝图,Equipment Assembly Array Blueprint,
2765,高强度提炼阵列蓝图,Intensive Reprocessing Array Blueprint,
2766,大型舰船组装阵列蓝图,Large Ship Assembly Array Blueprint,
2767,压缩阵列蓝图,Compression Array Blueprint,
2768,中型舰船组装阵列蓝图,Medium Ship Assembly Array Blueprint,
2769,提炼阵列蓝图,Reprocessing Array Blueprint,
2770,快速装备组装阵列蓝图,Rapid Equipment Assembly Array Blueprint,
2771,小型舰船组装阵列蓝图,Small Ship Assembly Array Blueprint,
2772,子系统组装阵列蓝图,Subsystem Assembly Array Blueprint,
2773,旗舰组装阵列蓝图,Capital Ship Assembly Array Blueprint,
2774,艾玛控制塔蓝图,Amarr Control Tower Blueprint,
2775,艾玛中型控制塔蓝图,Amarr Control Tower Medium Blueprint,
2776,艾玛小型控制塔蓝图,Amarr Control Tower Small Blueprint,
2777,加达里控制塔蓝图,Caldari Control Tower Blueprint,
2778,加达里中型控制塔蓝图,Caldari Control Tower Medium Blueprint,
2779,加达里小型控制塔蓝图,Caldari Control Tower Small Blueprint,
2780,盖伦特控制塔蓝图,Gallente Control Tower Blueprint,
2781,盖伦特中型控制塔蓝图,Gallente Control Tower Medium Blueprint,
2782,盖伦特小型控制塔蓝图,Gallente Control Tower Small Blueprint,
2783,米玛塔尔控制塔蓝图,Minmatar Control Tower Blueprint,
2784,米玛塔尔中型控制塔蓝图,Minmatar Control Tower Medium Blueprint,
2785,米玛塔尔小型控制塔蓝图,Minmatar Control Tower Small Blueprint,
2786,卫星开采阵列蓝图,Moon Harvesting Array Blueprint,
2787,军团机库阵列蓝图,Corporate Hangar Array Blueprint,
2788,诱导力场发生阵列蓝图,Cynosural Generator Array Blueprint,
2789,诱导力场系统干扰器蓝图,Cynosural System Jammer Blueprint,
2790,生化反应堆阵列蓝图,Biochemical Reactor Array Blueprint,
2791,复杂反应堆阵列蓝图,Complex Reactor Array Blueprint,
2792,离子力场投射台蓝图,Ion Field Projection Battery Blueprint,
2793,中型生化反应堆阵列蓝图,Medium Biochemical Reactor Array Blueprint,
2794,相位倒置接收塔蓝图,Phase Inversion Battery Blueprint,
2795,聚合物反应阵列蓝图,Polymer Reactor Array Blueprint,
2796,空间扰乱发射器蓝图,Spatial Destabilization Battery Blueprint,
2797,简单反应阵列蓝图,Simple Reactor Array Blueprint,
2798,白噪发生器台站蓝图,White Noise Generation Battery Blueprint,
2799,能量中和炮台蓝图,Energy Neutralizing Battery Blueprint,
2800,跳跃桥接蓝图,Jump Bridge Blueprint,
2803,大型疾速炮台蓝图,Large Blaster Battery Blueprint,
2804,大型磁轨炮台蓝图,Large Railgun Battery Blueprint,
2805,大型火炮塔台蓝图,Large Artillery Battery Blueprint,
2806,中型疾速炮台蓝图,Medium Blaster Battery Blueprint,
2807,大型自动加农炮塔台蓝图,Large AutoCannon Battery Blueprint,
2808,中型磁轨炮塔台蓝图,Medium Railgun Battery Blueprint,
2810,中型火炮塔台蓝图,Medium Artillery Battery Blueprint,
2813,小型疾速炮台蓝图,Small Blaster Battery Blueprint,
2814,中型自动加农炮塔台蓝图,Medium AutoCannon Battery Blueprint,
2815,小型磁轨炮台蓝图,Small Railgun Battery Blueprint,
2816,小型火炮塔台蓝图,Small Artillery Battery Blueprint,
2819,小型自动加农炮塔台蓝图,Small AutoCannon Battery Blueprint,
2820,逆向工程实验室蓝图,Experimental Laboratory Blueprint,
2821,研究实验室蓝图,Research Laboratory Blueprint,
2822,超大型鱼雷发射台蓝图,XL Torpedo Battery Blueprint,
2823,巡航导弹发射台蓝图,Cruise Missile Battery Blueprint,
2824,鱼雷发射台蓝图,Torpedo Battery Blueprint,
2825,小型脉冲激光炮台蓝图,Small Pulse Laser Battery Blueprint,
2826,小型集束激光炮台蓝图,Small Beam Laser Battery Blueprint,
2827,中型脉冲激光炮台蓝图,Medium Pulse Laser Battery Blueprint,
2828,中型集束激光炮台蓝图,Medium Beam Laser Battery Blueprint,
2829,大型脉冲激光炮台蓝图,Large Pulse Laser Battery Blueprint,
2830,大型集束激光炮台蓝图,Large Beam Laser Battery Blueprint,
2839,大脑加速器蓝图,Cerebral Accelerator Blueprint,
2864,元始级蓝图,Primae Blueprint,
3243,跃迁扰断器蓝图 I,Warp Disruptor I Blueprint,
3529,中型装甲维修器蓝图 I,Medium Armor Repairer I Blueprint,
3533,梯队级蓝图,Echelon Blueprint,
3539,大型装甲维修器蓝图 I,Large Armor Repairer I Blueprint,
3553,高速电容注电器装料—75蓝图,Cap Booster 75 Blueprint,
3555,高速电容注电器装料—100蓝图,Cap Booster 100 Blueprint,
3567,小型电容注电器蓝图 I,Small Capacitor Booster I Blueprint,
3577,重型电容注电器蓝图 I,Heavy Capacitor Booster I Blueprint,
3587,小型远程护盾回充增量器蓝图 I,Small Remote Shield Booster I Blueprint,
3590,损坏的萨沙数据分析仪蓝图,Mangled Sansha Data Analyzer Blueprint,
3597,中型远程护盾回充增量器蓝图 I,Medium Remote Shield Booster I Blueprint,
3607,大型远程护盾回充增量器蓝图 I,Large Remote Shield Booster I Blueprint,
3617,旗舰级远程护盾回充增量器蓝图 I,Capital Remote Shield Booster I Blueprint,
3654,中型结构维修器蓝图 I,Medium Hull Repairer I Blueprint,
3664,大型结构维修器蓝图 I,Large Hull Repairer I Blueprint,
3734,眼镜蛇悬浮雷蓝图,Cobra Mine Blueprint,
3736,水蟒悬浮雷蓝图,Anaconda Mine Blueprint,
3738,角蝰悬浮雷蓝图,Asp Mine Blueprint,
3752,SOCT 1蓝图,SOCT 1 Blueprint,
3754,SOCT 2蓝图,SOCT 2 Blueprint,
3765,勒维亚坦级蓝图,Leviathan Blueprint,
3767,守夜者级蓝图,Vigil Blueprint,
3769,艾玛警用护卫舰蓝图,Amarr Police Frigate Blueprint,
3794,数据破坏仪蓝图 I,Data Subverter I Blueprint,
3830,中型护盾扩展装置蓝图 I,Medium Shield Extender I Blueprint,
3840,大型护盾扩展装置蓝图 I,Large Shield Extender I Blueprint,
3927,克隆蓝图,Clones Blueprint,
3928,硬件蓝图,Hardware Blueprint,
3938,中型质子立体炸弹蓝图 I,Medium Proton Smartbomb I Blueprint,
3942,中型引力子立体炸弹蓝图 I,Medium Graviton Smartbomb I Blueprint,
3948,中型等离子立体炸弹蓝图 I,Medium Plasma Smartbomb I Blueprint,
3954,中型EMP立体炸弹蓝图 I,Medium EMP Smartbomb I Blueprint,
3963,海关办公室框架蓝图,Customs Office Gantry Blueprint,
3978,大型质子立体炸弹蓝图 I,Large Proton Smartbomb I Blueprint,
3982,大型引力子立体炸弹蓝图 I,Large Graviton Smartbomb I Blueprint,
3988,大型等离子立体炸弹蓝图 I,Large Plasma Smartbomb I Blueprint,
3994,大型EMP立体炸弹蓝图 I,Large EMP Smartbomb I Blueprint,
4305,预言级蓝图,Oracle Blueprint,
4307,娜迦级蓝图,Naga Blueprint,
4309,塔洛斯级蓝图,Talos Blueprint,
4311,龙卷风级蓝图,Tornado Blueprint,
4313,氧燃料块蓝图,Oxygen Fuel Block Blueprint,
4314,氮燃料块蓝图,Nitrogen Fuel Block Blueprint,
