id,basePrice,graphicID,groupID,iconID,marketGroupID,metaGroupID,cn_name,en_name,volume
263,1000.0,,87,1033,139,,电容注电器装料 25,Cap Booster 25,1.0
264,2500.0,,87,1033,139,,电容注电器装料 50,Cap Booster 50,2.0
265,,20049,1158,187,,,重型反弹道导弹 I,Heavy Defender Missile I,0.03
266,240.0,20060,387,1350,922,,鞭挞火箭,Scourge Rocket,0.005
267,30000,20014,89,1346,923,,鞭挞鱼雷,Scourge Torpedo,0.05
269,750.0,20062,394,1336,914,,雷神自动锁定轻型导弹 I,Mjolnir Auto-Targeting Light Missile I,0.015
270,,,92,1007,,,巨蟒悬浮雷,Python Mine,0.15
377,,,38,1044,605,,小型护盾扩展装置 I,Small Shield Extender I,5.0
380,,,38,1044,605,2,小型护盾扩展装置 II,Small Shield Extender II,5.0
393,,,39,83,126,,护盾回充器 I,Shield Recharger I,5.0
394,,,39,83,126,2,护盾回充器 II,Shield Recharger II,5.0
399,,,40,84,609,,小型护盾回充增量器 I,Small Shield Booster I,5.0
400,,,40,84,609,2,小型护盾回充增量器 II,Small Shield Booster II,5.0
405,1998,,41,86,603,3,微型远程护盾回充增量器,'Micro' Remote Shield Booster,2.5
406,35736,,41,86,604,2,微型远程护盾回充增量器 II,Micro Remote Shield Booster II,2.5
421,,,43,90,665,3,基础型电容回充器,'Basic' Capacitor Recharger,5.0
434,31636,,46,10149,131,,5MN微型跃迁推进器 I,5MN Microwarpdrive I,10
438,40566,,46,96,542,2,1MN加力燃烧器 II,1MN Afterburner II,5
439,6450,,46,96,542,,1MN加力燃烧器 I,1MN Afterburner I,5
440,134084,,46,10149,131,2,5MN微型跃迁推进器 II,5MN Microwarpdrive II,10
442,,,47,106,711,,货柜扫描器 I,Cargo Scanner I,5.0
443,,,48,107,713,,船体扫描器 I,Ship Scanner I,5.0
444,,,49,2732,714,,测量扫描器 I,Survey Scanner I,5.0
447,,,52,3433,1936,,跃迁扰频器 I,Warp Scrambler I,5.0
448,,,52,3433,1936,2,跃迁扰频器 II,Warp Scrambler II,5.0
450,,11118,53,350,570,,加特林脉冲激光器 I,Gatling Pulse Laser I,5.0
451,,11117,53,350,570,,双联轻型脉冲激光器 I,Dual Light Pulse Laser I,5.0
452,,11110,53,352,567,,双联轻型集束激光器 I,Dual Light Beam Laser I,5.0
453,,11119,53,350,570,,小型聚焦脉冲激光器 I,Small Focused Pulse Laser I,5.0
454,,11111,53,352,567,,小型聚焦集束激光器 I,Small Focused Beam Laser I,5.0
455,,11109,53,355,568,,四联轻型集束激光器 I,Quad Light Beam Laser I,10.0
456,,11115,53,356,572,,聚焦中型脉冲激光器 I,Focused Medium Pulse Laser I,10.0
457,,11107,53,355,568,,聚焦中型集束激光器 I,Focused Medium Beam Laser I,10.0
458,,11116,53,356,572,,重型脉冲激光器 I,Heavy Pulse Laser I,25.0
459,,11108,53,355,568,,重型集束激光器 I,Heavy Beam Laser I,25.0
460,,11113,53,360,573,,双联重型脉冲激光器 I,Dual Heavy Pulse Laser I,20.0
461,,11043,53,361,569,,双联重型集束激光器 I,Dual Heavy Beam Laser I,50.0
462,,11114,53,360,573,,超级脉冲激光器 I,Mega Pulse Laser I,50.0
463,,11105,53,361,569,,超级集束激光器 I,Mega Beam Laser I,50.0
464,,11106,53,361,569,,超光速粒子集束激光器 I,Tachyon Beam Laser I,50.0
482,,11273,54,1061,1039,2,采矿器 II,Miner II,5.0
483,,11146,54,1061,1039,,采矿器 I,Miner I,5.0
484,2000.0,11161,55,387,574,,125mm加特林自动加农炮 I,125mm Gatling AutoCannon I,5.0
485,6000.0,11162,55,387,574,,150mm轻型自动加农炮 I,150mm Light AutoCannon I,5.0
486,9000.0,11163,55,387,574,,200mm自动加农炮 I,200mm AutoCannon I,5.0
487,12000.0,11152,55,389,577,,250mm轻型加农炮 I,250mm Light Artillery Cannon I,5.0
488,15000.0,11153,55,389,577,,280mm榴弹炮 I,280mm Howitzer Artillery I,5.0
489,20000,11158,55,386,575,,双联180mm自动加农炮 I,Dual 180mm AutoCannon I,10
490,60000.0,11159,55,386,575,,220mm火神自动加农炮 I,220mm Vulcan AutoCannon I,10.0
491,90000.0,11160,55,386,575,,425mm自动加农炮 I,425mm AutoCannon I,10.0
492,120000.0,11150,55,384,578,,650mm加农炮 I,650mm Artillery Cannon I,25.0
493,150000.0,11151,55,384,578,,720mm榴弹炮 I,720mm Howitzer Artillery I,25.0
494,200000.0,11155,55,381,576,,双联425mm自动加农炮 I,Dual 425mm AutoCannon I,20.0
495,600000.0,11156,55,381,576,,双联650mm频射加农炮 I,Dual 650mm Repeating Cannon I,50.0
496,900000.0,11157,55,381,576,,800mm频射加农炮 I,800mm Repeating Cannon I,25.0
497,1200000.0,11148,55,379,579,,1200mm加农火炮 I,1200mm Artillery Cannon I,50.0
498,1500000.0,11149,55,379,579,,1400mm榴弹炮 I,1400mm Howitzer Artillery I,50.0
499,6000.0,20097,509,168,640,,轻型导弹发射器 I,Light Missile Launcher I,5.0
501,30000.0,20081,510,169,642,,重型导弹发射器 I,Heavy Missile Launcher I,10.0
503,99996.0,170,508,170,644,,鱼雷发射器 I,Torpedo Launcher I,20.0
506,,,767,90,667,3,基础型电容能源继电器,'Basic' Capacitor Power Relay,5.0
508,,,770,83,687,3,基础护盾通量线圈,'Basic' Shield Flux Coil,5
509,,,768,90,666,3,基础型电容通量线圈,'Basic' Capacitor Flux Coil,5.0
518,,,59,1046,646,3,基础型回转稳定器,'Basic' Gyrostabilizer,5
519,,,59,1046,646,2,回转稳定器 II,Gyrostabilizer II,5.0
520,,,59,1046,646,,回转稳定器 I,Gyrostabilizer I,5.0
521,,,60,77,615,3,基础型损伤控制,'Basic' Damage Control,5
522,,,61,89,702,3,微型电容器电池,'Micro' Cap Battery,2.5
523,,,62,80,1049,,小型装甲维修器 I,Small Armor Repairer I,5.0
524,,,63,21378,1053,,小型结构维修器 I,Small Hull Repairer I,12.5
526,,,65,1284,683,,停滞缠绕光束 I,Stasis Webifier I,5.0
527,,,65,1284,683,2,停滞缠绕光束 II,Stasis Webifier II,5.0
529,30000.0,,67,1035,695,,小型远程电容传输装置 I,Small Remote Capacitor Transmitter I,25.0
530,,,68,1029,692,,小型掠能器 I,Small Energy Nosferatu I,5
533,,,71,1283,689,,小型能量中和器 I,Small Energy Neutralizer I,5.0
561,2000.0,11140,74,349,564,,75mm加特林磁轨炮 I,75mm Gatling Rail I,5.0
562,6000.0,11127,74,376,561,,轻型电子疾速炮 I,Light Electron Blaster I,5.0
563,9000.0,11128,74,376,561,,轻型离子疾速炮 I,Light Ion Blaster I,5.0
564,12000.0,11129,74,376,561,,轻型中子疾速炮 I,Light Neutron Blaster I,5.0
565,15000.0,11139,74,349,564,,150mm磁轨炮 I,150mm Railgun I,5.0
566,60000.0,11124,74,371,562,,重型电子疾速炮 I,Heavy Electron Blaster I,10.0
567,20000.0,11135,74,370,565,,双联150mm磁轨炮 I,Dual 150mm Railgun I,10.0
568,120000.0,11126,74,371,562,,重型中子疾速炮 I,Heavy Neutron Blaster I,25.0
569,90000.0,11125,74,371,562,,重型离子疾速炮 I,Heavy Ion Blaster I,10.0
570,150000.0,11137,74,370,565,,250mm磁轨炮 I,250mm Railgun I,25.0
571,600000.0,11121,74,365,563,,电子疾速加农炮 I,Electron Blaster Cannon I,50.0
572,200000.0,11132,74,366,566,,双联250mm磁轨炮 I,Dual 250mm Railgun I,20.0
573,1200000.0,11123,74,365,563,,中子疾速加农炮 I,Neutron Blaster Cannon I,50.0
574,1500000.0,11134,74,366,566,,425mm磁轨炮 I,425mm Railgun I,50.0
575,900000.0,11122,74,365,563,,离子疾速加农炮 I,Ion Blaster Cannon I,50.0
577,28124.0,,76,1031,700,,中型电容注电器 I,Medium Capacitor Booster I,10.0
578,75000.0,,77,81,1696,,自适应全能力场 I,Adaptive Invulnerability Field I,20.0
580,,,80,109,678,,脉冲干扰器 I,Burst Jammer I,5
581,,,82,104,672,,被动锁定器 I,Passive Targeter I,25.0
582,,38,25,,61,,矮脚鸡级,Bantam,20000.0
583,,39,25,,61,,秃鹫级,Condor,18000.0
584,,40,25,,61,,狮鹫级,Griffin,19400.0
585,,44,25,,64,,伐木者级,Slasher,17400.0
586,,45,25,,64,,探索级,Probe,19500.0
587,,46,25,,64,,裂谷级,Rifter,27289.0
588,,53,237,,1819,,死神号,Reaper,15800
589,,54,25,,72,,刽子手级,Executioner,28100.0
590,,55,25,,72,,检察官级,Inquisitor,28700.0
591,,56,25,,72,,巨神兵级,Tormentor,24398.0
592,,59,25,,77,,纳维达斯级,Navitas,10000.0
593,,60,25,,77,,特里斯坦级,Tristan,26500
594,,61,25,,77,,因卡萨斯级,Incursus,29500.0
595,,66,25,,,,盖伦特警用船,Gallente Police Ship,20400.0
596,,299,237,,1816,,帝国号,Impairor,28100
597,,300,25,,72,,惩罚者级,Punisher,28600.0
598,,305,25,,64,,分裂者级,Breacher,20000.0
599,,306,25,,64,,爆发级,Burst,17100.0
600,,307,25,,,,米玛塔尔维和船,Minmatar Peacekeeper Ship,12000.0
601,,312,237,,1817,,伊毕斯号,Ibis,15000
602,,313,25,,61,,茶隼级,Kestrel,19700.0
603,,314,25,,61,,小鹰级,Merlin,16500.0
605,,316,25,,61,,苍鹭级,Heron,18900.0
606,,321,237,,1818,,维拉托尔号,Velator,24500
607,,322,25,,77,,伊米卡斯级,Imicus,21500.0
608,,323,25,,77,,阿特龙级,Atron,22500.0
609,,324,25,,77,,毛鲁斯级,Maulus,23000.0
613,,339,25,,,,吞噬级,Devourer,19100.0
614,,340,25,,,,女神级,Fury,26000
615,,341,237,,2702,4,献祭者级,Immolator,17400.0
616,,342,25,,,,美杜莎级,Medusa,17500
617,,343,237,,2702,4,回声级,Echo,17660.0
618,,344,25,,,,山猫级,Lynx,22500
619,,345,25,,,,剑刺级,Swordspine,21120
620,,41,26,,75,,鱼鹰级,Osprey,107000.0
621,,42,26,,75,,狞獾级,Caracal,92000.0
622,,47,26,,73,,刺客级,Stabber,80000.0
623,,49,26,,75,,巨鸟级,Moa,101000.0
624,,57,26,,74,,暴君级,Maller,118000.0
625,,58,26,,74,,奥格诺级,Augoror,115000.0
626,,62,26,,76,,狂怒者级,Vexor,115000.0
627,,63,26,,76,,托勒克斯级,Thorax,112000.0
628,,298,26,,74,,主宰级,Arbitrator,120000.0
629,,302,26,,73,,断崖级,Rupture,96000.0
630,,303,26,,73,,挑战级,Bellicose,85000.0
631,,304,26,,73,,镰刀级,Scythe,89000.0
632,,311,26,,75,,黑鸟级,Blackbird,96000.0
633,,319,26,,76,,星空级,Celestis,116000.0
634,,320,26,,76,,送葬者级,Exequror,113000.0
635,,330,26,,1699,,奥普克斯级豪华游轮,Opux Luxury Yacht,115000.0
638,1.0875E8,43,27,,80,,乌鸦级,Raven,486000.0
639,1.0375E8,48,27,,78,,狂暴级,Tempest,450000.0
640,7.125E7,50,27,,80,,毒蝎级,Scorpion,468000.0
641,1.05E8,64,27,,81,,万王宝座级,Megathron,486000.0
642,1.125E8,296,27,,79,,灾难级,Apocalypse,495000.0
643,6.625E7,297,27,,79,,末日沙场级,Armageddon,486000.0
644,7.5E7,301,27,,78,,台风级,Typhoon,414000.0
645,6.25E7,318,27,,81,,多米尼克斯级,Dominix,454500.0
648,,51,28,,84,,獾级,Badger,250000
649,,52,28,,84,,狐鼬级,Tayra,270000.0
650,,65,28,,83,,涅鲁斯级,Nereus,240000.0
651,,308,28,,82,,囤积者级,Hoarder,400000.0
652,,309,28,,82,,猛犸级,Mammoth,255000.0
653,,310,28,,82,,环绕级,Wreathe,225000.0
654,,325,28,,83,,克琉斯级,Kryos,245000.0
655,,326,28,,83,,埃比斯级,Epithal,250000.0
656,,327,28,,83,,米亚莫斯级,Miasmos,265000.0
657,,328,28,,83,,伊特龙级MKV,Iteron Mark V,275000.0
670,,73,29,73,,,太空舱,Capsule,1000.0
671,50699805800,2942,30,,815,,俄洛巴斯级,Erebus,145500000
672,7500.0,317,31,,396,,加达里穿梭机,Caldari Shuttle,5000.0
681,9999999.0,,104,34,,,B级克隆蓝图,Clone Grade Beta Blueprint,0.01
682,9999999.0,,104,34,,,C级克隆蓝图,Clone Grade Gamma Blueprint,0.01
683,2550000.0,38,105,,261,,矮脚鸡级蓝图,Bantam Blueprint,0.01
684,2150000.0,39,105,,261,,秃鹫级蓝图,Condor Blueprint,0.01
685,2350000.0,40,105,,261,,狮鹫级蓝图,Griffin Blueprint,0.01
686,8.05E7,41,106,,275,,鱼鹰级蓝图,Osprey Blueprint,0.01
687,8.25E7,42,106,,275,,狞獾级蓝图,Caracal Blueprint,0.01
688,1.135E9,43,107,,280,,乌鸦级蓝图,Raven Blueprint,0.01
689,2100000.0,44,105,,264,,伐木者级蓝图,Slasher Blueprint,0.01
690,2700000.0,45,105,,264,,探索级蓝图,Probe Blueprint,0.01
691,2800000.0,46,105,,264,,裂谷级蓝图,Rifter Blueprint,0.01
692,8.2E7,47,106,,273,,刺客级蓝图,Stabber Blueprint,0.01
693,1.055E9,48,107,,278,,狂暴级蓝图,Tempest Blueprint,0.01
784,1.0E10,,134,1061,,2,采矿器蓝图 II,Miner II Blueprint,0.01
785,92720.0,,134,1061,338,,采矿器蓝图 I,Miner I Blueprint,0.01
786,60000.0,,136,168,340,,轻型导弹发射器蓝图 I,Light Missile Launcher I Blueprint,0.01
788,300000.0,20081,136,169,340,,重型导弹发射器蓝图 I,Heavy Missile Launcher I Blueprint,0.01
790,999960.0,170,136,170,340,,鱼雷发射器蓝图 I,Torpedo Launcher I Blueprint,0.01
803,5000000.0,,166,182,1526,,雷神巡航导弹蓝图,Mjolnir Cruise Missile Blueprint,0.01
804,3000000.0,,166,183,1526,,鞭挞巡航导弹蓝图,Scourge Cruise Missile Blueprint,0.01
805,4000000.0,20040,166,184,1526,,炼狱巡航导弹蓝图,Inferno Cruise Missile Blueprint,0.01
806,2500000.0,,166,185,1526,,星爆巡航导弹蓝图,Nova Cruise Missile Blueprint,0.01
807,700000.0,,166,186,1527,,星爆重型导弹蓝图,Nova Heavy Missile Blueprint,0.01
808,900000.0,,166,187,1527,,雷神重型导弹蓝图,Mjolnir Heavy Missile Blueprint,0.01
809,800000.0,,166,188,1527,,炼狱重型导弹蓝图,Inferno Heavy Missile Blueprint,0.01
810,750000.0,,166,189,1527,,鞭挞重型导弹蓝图,Scourge Heavy Missile Blueprint,0.01
811,150000.0,,166,190,1528,,鞭挞轻型导弹蓝图,Scourge Light Missile Blueprint,0.01
812,160000.0,,166,191,1528,,炼狱轻型导弹蓝图,Inferno Light Missile Blueprint,0.01
813,180000.0,,166,192,1528,,雷神轻型导弹蓝图,Mjolnir Light Missile Blueprint,0.01
814,140000.0,,166,193,1528,,星爆轻型导弹蓝图,Nova Light Missile Blueprint,0.01
819,20000.0,,135,387,296,,125mm加特林自动加农炮蓝图 I,125mm Gatling AutoCannon I Blueprint,0.01
820,60000.0,,135,387,296,,150mm轻型自动加农炮蓝图 I,150mm Light AutoCannon I Blueprint,0.01
821,90000.0,,135,387,296,,200mm自动加农炮蓝图 I,200mm AutoCannon I Blueprint,0.01
822,120000.0,,135,389,296,,250mm轻型加农炮蓝图 I,250mm Light Artillery Cannon I Blueprint,0.01
823,150000.0,,135,389,296,,280mm榴弹炮蓝图 I,280mm Howitzer Artillery I Blueprint,0.01
824,200000.0,,135,386,297,,双联180mm自动加农炮蓝图 I,Dual 180mm AutoCannon I Blueprint,0.01
825,600000.0,,135,386,297,,220mm火神自动加农炮蓝图 I,220mm Vulcan AutoCannon I Blueprint,0.01
826,900000.0,,135,386,297,,425mm自动加农炮蓝图 I,425mm AutoCannon I Blueprint,0.01
827,1200000.0,,135,384,297,,650mm加农炮蓝图 I,650mm Artillery Cannon I Blueprint,0.01
828,1500000.0,,135,384,297,,720mm榴弹炮蓝图 I,720mm Howitzer Artillery I Blueprint,0.01
829,2000000.0,,135,381,298,,双联425mm自动加农炮蓝图 I,Dual 425mm AutoCannon I Blueprint,0.01
830,6000000.0,,135,381,298,,双联650mm频射加农炮蓝图 I,Dual 650mm Repeating Cannon I Blueprint,0.01
831,9000000.0,,135,381,298,,800mm频射加农炮蓝图 I,800mm Repeating Cannon I Blueprint,0.01
832,1.2E7,,135,379,298,,1200mm加农炮蓝图 I,1200mm Artillery Cannon I Blueprint,0.01
833,1.5E7,,135,379,298,,1400mm榴弹炮蓝图 I,1400mm Howitzer Artillery I Blueprint,0.01
834,20000.0,,133,350,292,,加特林脉冲激光器蓝图 I,Gatling Pulse Laser I Blueprint,0.01
835,60000.0,,133,350,292,,双联轻型脉冲激光器蓝图 I,Dual Light Pulse Laser I Blueprint,0.01
836,90000.0,,133,352,292,,双联轻型集束激光器蓝图 I,Dual Light Beam Laser I Blueprint,0.01
837,120000.0,,133,350,292,,小型聚焦脉冲激光器 I 蓝图,Small Focused Pulse Laser I Blueprint,0.01
838,150000.0,,133,352,292,,小型聚焦集束激光器 I 蓝图,Small Focused Beam Laser I Blueprint,0.01
839,185280.0,,133,355,293,,四联轻型集束激光器蓝图 I,Quad Light Beam Laser I Blueprint,0.01
840,600000.0,,133,356,293,,聚焦中型脉冲激光器蓝图 I,Focused Medium Pulse Laser I Blueprint,0.01
841,900000.0,,133,355,293,,聚焦中型集束激光器蓝图 I,Focused Medium Beam Laser I Blueprint,0.01
842,1200000.0,,133,356,293,,重型脉冲激光器蓝图 I,Heavy Pulse Laser I Blueprint,0.01
843,1500000.0,,133,355,293,,重型集束激光器蓝图 I,Heavy Beam Laser I Blueprint,0.01
844,2000000.0,,133,360,295,,双联重型脉冲激光器蓝图 I,Dual Heavy Pulse Laser I Blueprint,0.01
845,6000000.0,,133,361,295,,双联重型集束激光器蓝图 I,Dual Heavy Beam Laser I Blueprint,0.01
846,9000000.0,,133,360,295,,超级脉冲激光器蓝图 I,Mega Pulse Laser I Blueprint,0.01
